deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
train_sandwip_0646.wav,2.1833827,1.7886178,3.87617,2.7923467,2.652297,NISQAv2
train_sandwip_0647.wav,1.1434413,1.3811014,2.0963907,1.4505181,2.3170846,NISQAv2
train_sandwip_0648.wav,1.6454337,1.7378675,3.7064927,2.2631712,2.230692,NISQAv2
train_sandwip_0649.wav,1.3870912,1.6413215,3.3615294,1.9668406,1.9547164,NISQAv2
train_sandwip_0650.wav,1.4996599,1.6877319,3.2520134,2.1369076,2.2432718,NISQAv2
train_sandwip_0651.wav,1.567091,1.6678131,2.7863145,1.6669313,2.280208,NISQAv2
train_sandwip_0652.wav,2.6057851,1.773744,3.8980885,3.069277,2.970885,NISQAv2
train_sandwip_0653.wav,1.1885487,1.5371842,3.286719,1.8372151,1.4211819,NISQAv2
train_sandwip_0654.wav,1.2066624,1.6191696,3.1770623,1.7989805,1.7118381,NISQAv2
train_sandwip_0655.wav,1.811569,1.7222784,3.1707437,2.4847715,2.7177386,NISQAv2
train_sandwip_0656.wav,1.1171985,1.5051296,3.2184122,2.0037103,1.8638344,NISQAv2
train_sandwip_0657.wav,1.6231806,1.4704999,2.6793644,2.0335636,2.5623016,NISQAv2
train_sandwip_0658.wav,2.240621,1.7252606,3.7646217,2.7555184,3.1889503,NISQAv2
train_sandwip_0659.wav,1.7245435,1.7112143,3.5778074,2.121346,2.0549402,NISQAv2
train_sandwip_0660.wav,1.1702788,1.5836191,2.1650453,1.6886061,1.6790264,NISQAv2
train_sandwip_0661.wav,1.4277563,1.7188547,3.3824687,1.9956024,2.0054343,NISQAv2
train_sandwip_0662.wav,1.7159649,1.78106,3.660289,2.120986,2.1366591,NISQAv2
train_sandwip_0663.wav,1.299845,1.8084776,3.3738697,1.7352102,1.6097649,NISQAv2
train_sandwip_0664.wav,2.2175019,1.9504683,3.81423,2.8332286,2.9797282,NISQAv2
train_sandwip_0665.wav,2.509675,1.8543482,3.9591804,3.2757359,3.5406208,NISQAv2
train_sandwip_0666.wav,2.1848214,1.6594744,4.103101,3.506047,3.246005,NISQAv2
train_sandwip_0667.wav,1.7252783,1.4155205,3.8492317,2.7399695,2.554266,NISQAv2
train_sandwip_0668.wav,1.9620372,1.7622449,3.090273,2.445237,2.9883816,NISQAv2
train_sandwip_0669.wav,2.3618712,1.9045931,3.5489473,3.201307,2.8508892,NISQAv2
train_sandwip_0670.wav,1.9166688,1.8446288,3.1802688,2.1053379,2.9845638,NISQAv2
train_sandwip_0671.wav,3.0592902,1.8313701,3.9614546,3.4806042,3.79524,NISQAv2
train_sandwip_0672.wav,2.4004593,1.836238,4.114031,3.2412043,3.5249093,NISQAv2
train_sandwip_0673.wav,1.9207731,1.5808413,3.9463887,3.2188056,3.1254945,NISQAv2
train_sandwip_0674.wav,1.4202964,1.7878813,2.2495258,2.1488104,2.1495101,NISQAv2
train_sandwip_0675.wav,1.8628564,1.9579197,2.8919685,1.9930775,2.5429559,NISQAv2
train_sandwip_0676.wav,2.201141,1.9752886,3.1612637,2.6252708,3.274976,NISQAv2
train_sandwip_0677.wav,1.7092396,1.9988338,2.8969135,1.8781668,2.5546658,NISQAv2
train_sandwip_0678.wav,1.8700749,1.952793,2.7812204,2.1392305,2.6424396,NISQAv2
train_sandwip_0679.wav,2.1905441,1.7665366,3.21111,2.5111618,2.7980769,NISQAv2
train_sandwip_0680.wav,2.078191,1.8802329,2.5301669,2.4747214,2.914768,NISQAv2
train_sandwip_0681.wav,1.5635055,1.6303918,2.4734094,1.8734711,2.3568237,NISQAv2
train_sandwip_0682.wav,2.0301821,1.7857933,2.4167347,2.5553565,3.2289557,NISQAv2
train_sandwip_0683.wav,2.5666072,1.8755652,3.6585302,2.9259017,3.2321162,NISQAv2
train_sandwip_0684.wav,2.0803578,1.7936778,3.0196054,2.539403,2.7834935,NISQAv2
train_sandwip_0685.wav,2.1643963,2.0656254,3.4641762,2.453063,2.8381937,NISQAv2
train_sandwip_0686.wav,1.6258078,1.8077086,3.3726573,2.1709728,2.378827,NISQAv2
train_sandwip_0687.wav,1.7467996,1.702693,2.8192768,2.166419,2.655551,NISQAv2
train_sandwip_0688.wav,1.9627589,1.7222531,2.8638792,2.296717,2.7317376,NISQAv2
train_sandwip_0689.wav,2.2447095,1.8611783,3.64599,2.693922,2.956503,NISQAv2
train_sandwip_0690.wav,1.354359,1.6583209,3.1555128,2.293974,2.1015449,NISQAv2
train_sandwip_0691.wav,1.1284399,1.6323687,2.815856,2.0276587,2.1737158,NISQAv2
train_sandwip_0692.wav,1.1295352,1.6673878,2.6753829,1.9401624,2.0198674,NISQAv2
train_sandwip_0693.wav,1.6532397,1.8872902,3.1298068,2.2935462,2.2584593,NISQAv2
train_sandwip_0694.wav,2.170983,1.9384733,3.474693,2.8290384,2.932077,NISQAv2
train_sandwip_0695.wav,1.8281858,1.8989509,3.2015898,2.1927953,2.5212085,NISQAv2
train_sandwip_0696.wav,1.5209142,1.8210416,2.7394109,2.1099072,2.2461367,NISQAv2
